Linux 6.12.33+kali-amd64 (two94) 	23/11/25 	_x86_64_	(12 CPU)

12:01:51 AM IST  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:02 AM IST  all   13.05    0.00    4.58    0.08    0.00    1.61    0.00    0.00    0.00   80.68
12:04:03 AM IST  all   12.72    0.00    4.78    0.09    0.00    1.79    0.00    0.00    0.00   80.61
12:04:04 AM IST  all   12.51    0.00    4.77    0.09    0.00    1.79    0.00    0.00    0.00   80.85
12:04:05 AM IST  all   12.49    0.00    4.96    0.09    0.00    1.28    0.00    0.00    0.00   81.18
12:04:06 AM IST  all   12.28    0.00    4.52    0.09    0.00    2.13    0.00    0.00    0.00   80.99
12:04:07 AM IST  all   12.66    0.00    4.42    0.08    0.00    1.87    0.00    0.00    0.00   80.97
12:04:08 AM IST  all   12.48    0.00    5.09    0.08    0.00    1.61    0.00    0.00    0.00   80.73
12:04:09 AM IST  all   12.70    0.00    4.91    0.08    0.00    1.78    0.00    0.00    0.00   80.52
12:04:10 AM IST  all   13.24    0.00    4.01    0.09    0.00    1.28    0.00    0.00    0.00   81.38
12:04:11 AM IST  all   13.10    0.00    4.76    0.17    0.00    1.70    0.00    0.00    0.00   80.27
12:04:12 AM IST  all   12.14    0.00    4.75    0.00    0.00    2.29    0.00    0.00    0.00   80.81
12:04:13 AM IST  all   12.60    0.00    4.85    0.17    0.00    1.53    0.00    0.00    0.00   80.85
12:04:14 AM IST  all   12.55    0.00    5.09    0.08    0.00    1.44    0.00    0.00    0.00   80.83
12:04:15 AM IST  all   11.76    0.00    5.12    0.09    0.00    1.96    0.00    0.00    0.00   81.07
12:04:16 AM IST  all   13.08    0.00    4.39    0.08    0.00    1.86    0.00    0.00    0.00   80.59
12:04:17 AM IST  all   12.37    0.00    5.34    0.17    0.00    1.61    0.00    0.00    0.00   80.51
12:04:18 AM IST  all   12.50    0.00    5.19    0.09    0.00    1.62    0.00    0.00    0.00   80.61
12:04:19 AM IST  all   12.48    0.00    4.92    0.08    0.00    1.78    0.00    0.00    0.00   80.73
12:04:20 AM IST  all   12.19    0.00    4.77    0.09    0.00    1.96    0.00    0.00    0.00   80.99
12:04:21 AM IST  all   12.76    0.00    4.76    0.09    0.00    1.62    0.00    0.00    0.00   80.78
12:04:22 AM IST  all   13.23    0.00    4.72    0.08    0.00    1.77    0.00    0.00    0.00   80.20
12:04:23 AM IST  all   12.52    0.00    4.94    0.09    0.00    1.45    0.00    0.00    0.00   81.01
12:04:24 AM IST  all   13.40    0.00    4.75    0.17    0.00    1.44    0.00    0.00    0.00   80.24
12:04:25 AM IST  all   12.53    0.00    4.60    0.00    0.00    1.53    0.00    0.00    0.00   81.33
12:04:26 AM IST  all   12.85    0.00    4.68    0.00    0.00    1.36    0.00    0.00    0.00   81.11
12:04:27 AM IST  all   12.61    0.00    4.77    0.00    0.00    1.62    0.00    0.00    0.00   81.01
12:04:28 AM IST  all   12.88    0.00    4.21    0.17    0.00    1.29    0.00    0.00    0.00   81.46
12:04:29 AM IST  all   13.19    0.00    4.65    0.08    0.00    1.52    0.00    0.00    0.00   80.56
12:04:30 AM IST  all   13.08    0.00    4.33    0.08    0.00    1.61    0.00    0.00    0.00   80.88
12:04:31 AM IST  all   12.78    0.00    4.51    0.17    0.00    1.45    0.00    0.00    0.00   81.09
12:04:32 AM IST  all   12.87    0.00    4.43    0.09    0.00    1.71    0.00    0.00    0.00   80.90
12:04:33 AM IST  all   13.29    0.00    4.17    0.09    0.00    1.53    0.00    0.00    0.00   80.92
12:04:34 AM IST  all   13.05    0.00    5.08    0.08    0.00    1.36    0.00    0.00    0.00   80.42
12:04:35 AM IST  all   12.51    0.00    5.41    0.17    0.00    1.61    0.00    0.00    0.00   80.30
12:04:36 AM IST  all   13.51    0.00    4.73    0.08    0.00    1.44    0.00    0.00    0.00   80.24
12:04:37 AM IST  all   12.57    2.72    6.63    1.44    0.00    1.70    0.00    0.00    0.00   74.94
12:04:38 AM IST  all   12.68    3.95    5.79    3.11    0.00    2.18    0.00    0.00    0.00   72.29
12:04:39 AM IST  all   12.18    3.95    5.15    0.26    0.00    1.72    0.00    0.00    0.00   76.76
12:04:40 AM IST  all   12.62    0.00    4.60    0.09    0.00    1.53    0.00    0.00    0.00   81.16
12:04:41 AM IST  all   12.65    0.00    4.79    0.09    0.00    1.62    0.00    0.00    0.00   80.85
12:04:42 AM IST  all   12.61    0.00    4.17    0.26    0.00    1.70    0.00    0.00    0.00   81.26
12:04:43 AM IST  all   12.45    0.00    4.52    0.17    0.00    1.88    0.00    0.00    0.00   80.99
12:04:44 AM IST  all   12.47    0.00    4.87    0.09    0.00    1.62    0.00    0.00    0.00   80.96
12:04:45 AM IST  all   13.14    0.00    4.89    0.08    0.00    1.52    0.00    0.00    0.00   80.37
12:04:46 AM IST  all   12.46    0.00    4.78    0.09    0.00    1.62    0.00    0.00    0.00   81.06
12:04:47 AM IST  all   12.35    0.00    5.03    0.09    0.00    1.53    0.00    0.00    0.00   81.01
12:04:48 AM IST  all   12.54    0.00    5.51    0.00    0.00    1.36    0.00    0.00    0.00   80.59
12:04:49 AM IST  all   13.43    0.00    4.39    0.17    0.00    1.69    0.00    0.00    0.00   80.32
12:04:50 AM IST  all   12.65    0.00    4.53    0.09    0.00    1.62    0.00    0.00    0.00   81.11
12:04:51 AM IST  all   13.25    0.00    4.59    0.08    0.00    1.44    0.00    0.00    0.00   80.63
12:04:52 AM IST  all   12.64    0.00    4.53    0.09    0.00    1.96    0.00    0.00    0.00   80.79
12:04:53 AM IST  all   12.22    0.00    4.92    0.08    0.00    1.78    0.00    0.00    0.00   80.98
12:04:54 AM IST  all   12.91    0.00    4.36    0.09    0.00    1.54    0.00    0.00    0.00   81.11
12:04:55 AM IST  all   13.14    0.00    4.01    0.09    0.00    1.54    0.00    0.00    0.00   81.23
12:04:56 AM IST  all   12.24    0.00    5.10    0.09    0.00    1.62    0.00    0.00    0.00   80.95
12:04:57 AM IST  all   12.34    0.00    5.02    0.09    0.00    1.53    0.00    0.00    0.00   81.02
12:04:58 AM IST  all   12.56    0.00    4.79    0.09    0.00    1.28    0.00    0.00    0.00   81.28
12:04:59 AM IST  all   12.80    0.00    4.52    0.09    0.00    1.45    0.00    0.00    0.00   81.14
12:05:00 AM IST  all   12.62    0.00    5.08    0.08    0.00    1.86    0.00    0.00    0.00   80.36
12:05:01 AM IST  all   12.26    0.00    4.68    0.09    0.00    2.13    0.00    0.00    0.00   80.85
12:05:02 AM IST  all   12.03    0.00    5.00    0.00    0.00    1.53    0.00    0.00    0.00   81.44
12:05:03 AM IST  all   12.41    0.00    5.78    0.17    0.00    1.36    0.00    0.00    0.00   80.27
12:05:04 AM IST  all   12.75    0.00    4.36    0.09    0.00    1.63    0.00    0.00    0.00   81.18
12:05:05 AM IST  all   12.26    0.00    4.68    0.09    0.00    1.96    0.00    0.00    0.00   81.02
12:05:06 AM IST  all   12.26    0.00    4.60    0.17    0.00    2.04    0.00    0.00    0.00   80.94
12:05:07 AM IST  all   12.19    0.00    4.98    0.09    0.00    1.12    0.00    0.00    0.00   81.63
12:05:08 AM IST  all   12.79    0.00    4.91    0.08    0.00    1.95    0.00    0.00    0.00   80.27
12:05:09 AM IST  all   11.63    0.00    4.45    0.00    0.00    2.31    0.00    0.00    0.00   81.61
12:05:10 AM IST  all   12.98    0.00    4.81    0.08    0.00    1.77    0.00    0.00    0.00   80.35
12:05:11 AM IST  all   12.75    0.00    4.45    0.17    0.00    1.88    0.00    0.00    0.00   80.75
12:05:12 AM IST  all   12.94    0.00    5.11    0.09    0.00    1.62    0.00    0.00    0.00   80.26
12:05:13 AM IST  all   13.01    0.00    5.07    0.08    0.00    1.52    0.00    0.00    0.00   80.32
12:05:14 AM IST  all   12.91    0.00    4.67    0.17    0.00    1.61    0.00    0.00    0.00   80.63
12:05:15 AM IST  all   12.97    0.00    5.05    0.08    0.00    1.68    0.00    0.00    0.00   80.20
12:05:16 AM IST  all   11.98    0.00    4.62    0.09    0.00    1.97    0.00    0.00    0.00   81.35
12:05:17 AM IST  all   13.12    0.00    5.17    0.08    0.00    1.69    0.00    0.00    0.00   79.93
