procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 2058440 443224  48852 3378824    0    0     0    44 7153 28499  9  9 81  0  0  0
 3  0 2058440 451624  48852 3366072    0    0     0    40 7470 29296  9  9 81  0  0  0
 7  0 2058440 439312  48852 3365584    0    0     0    16 8859 37951  8  7 85  0  0  0
 1  0 2058440 459032  48868 3365988    0    0     0   124 8213 33344  9  9 82  0  0  0
 2  0 2058440 465184  48876 3365444    0    0     0   108 9168 37414  8  8 84  0  0  0
 1  0 2058440 493800  48892 3342844    0    0     0   152 9521 38966  8  8 84  0  0  0
 7  0 2058440 452800  48892 3373624    0    0    28    68 11054 38947 21  8 71  0  0  0
 3  0 2058440 424040  48892 3406340    0    0     8    36 10253 39636 10  9 81  0  0  0
 5  0 2058440 461436  48900 3408076   12   36    12    60 8539 31496 11 10 79  0  0  0
 0  0 2058440 521572  48904 3400708    0    0     0    12 2090 4260  1  1 98  0  0  0
 0  0 2058440 512556  48916 3402608    0    0     0   132 2006 4501  1  1 98  0  0  0
19  0 2058440 471544  48932 3398344    0    0     0   832 9141 11438  3  2 94  0  0  0
18  0 2058440 480912  48932 3388932    0    0     0  2584 11153 38131  8  7 84  0  0  0
25  1 2058440 471156  48932 3371248    0    0     0  2448 10393 37049  9  6 85  0  0  0
27  0 2058440 444740  48940 3403988    0    0     0  2252 10002 35203  9  7 83  0  0  0
10  0 2058440 458416  48940 3402232    0    0     0  2548 10764 38603  9  7 83  1  0  0
19  0 2058440 486120  48948 3378544    0    0     0  2108 9745 33667 10  6 83  0  0  0
 8  0 2058440 492368  48948 3372096    0    0     0  2280 9156 32269  7  7 86  0  0  0
 5  0 2058440 488280  48948 3367928    8    0    36  2368 9698 35118  7  7 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0 2058440 495000  48956 3365768    0    0     0  2232 8553 29323  7  7 86  0  0  0
10  0 2058440 519448  48964 3363524    0    0     0  2688 9588 34553  7  6 87  0  0  0
