procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0 1752076 400724 106152 3897516    0    0     0  6476 22029 116316 18  7 74  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
34  0 1752076 397740 106152 3897500    0    0     0  7164 18452 118868 12  6 82  1  0  0
21  1 1752076 393732 106152 3896920    0    0     0  6880 18095 117850 11  6 83  1  0  0
10  1 1752076 386868 106152 3895896    0    0     0  7572 18569 120055 11  6 82  1  0  0
 8  0 1752076 390588 106152 3898164    0    0     0  6856 19247 116877 12  7 80  1  0  0
23  1 1752076 407476 106168 3897440    0    0     0  6184 22249 122561 14  7 78  1  0  0
30  0 1751052 310544 106176 3969936  112    0   112  5264 21712 116236 21  9 69  1  0  0
 0  1 1751052 297064 106208 3968048    0    0   580  4660 24621 112085 28 10 61  1  0  0
40  0 1751052 265248 106224 3981148    0    0     0  7680 20476 105272 31  7 61  1  0  0
49  0 1751052 296532 106280 3958232    0    0     0  6880 19897 119320 13  6 79  1  0  0
36  0 1751052 278436 106304 3950664    0    0    16  6308 20078 118887 18  6 74  1  0  0
43  0 1751052 302828 106328 3946916    0    0    28  5924 20816 118390 18  8 74  1  0  0
45  0 1751052 315956 106328 3950252    0    0     0  6136 19570 115420 19  7 74  1  0  0
40  0 1751052 329592 106328 3925080    0    0     0  8072 18597 118441 12  6 81  1  0  0
 2  1 1751052 336364 106328 3917880    0    0     0  6808 18725 118674 13  6 80  1  0  0
44  0 1751052 314004 106336 3925400    0    0     0  5920 19544 116417 17  8 74  1  0  0
49  0 1751052 300784 106344 3946592    0    0     0  6148 21088 118842 16  7 76  1  0  0
20  0 1751052 306300 106360 3937868    0    0     0  6692 18771 115949 13  6 80  1  0  0
51  0 1751052 328264 106360 3935012    0    0     0  6176 20344 117863 14  7 78  1  0  0
54  0 1751052 282892 106360 3930776    0    0     0  9244 23100 121055 17  8 74  1  0  0
53  0 1751052 200956 106464 3931768    0    0   596  6084 26138 119669 31  9 59  1  0  0
26  0 1751052 145720 106488 3939564    0    0    20  5804 21874 120809 18  7 73  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
27  0 1751052 162128 106488 3930724    0    0     0  5808 20527 112006 19  7 74  1  0  0
42  0 1751052 162616 106488 3928700    0    0     0  5784 20274 116799 14  7 78  1  0  0
